Id	Note	Continent	QuestItem	LostQBit	StartQBit	EndQBit	PostEnd	Level
1	Longsword							1
2	Trollish War Sword							27
3	Dark Elven Longsword							78
4	Templar's Sword							93
5	Champion's Sword							87
6	Two-Handed Sword							15
7	Dark Elven Bastard Sword							47
8	Minotaur Battlesword							63
9	Dragonning Blade							95
10	Headsman's Reaver							79
11	Iron Broadsword							8
12	Trollish Claymore							39
13	Lizardman Broadsword							42
14	Knightly Broadsword							68
15	Archangel Broadsword							90
16	Rusty Cutlass							3
17	Goblin Scimitar							59
18	Regnan Cutlass							73
19	Regnan Falchion							75
20	Captain's Cutlass							61
21	Crude Dagger							5
22	Crystal Dagger							63
23	Merchantman's Dagger							47
24	Master's Dagger							75
25	Fanged Blade							85
26	Long Dagger							24
27	Alvarian Poignard							51
28	Regnan Fighting Knife							71
29	Twilight Kris							93
30	Dueling Long Dagger							89
31	Stone Axe							8
32	Battle Hatchet							34
33	Battleaxe							61
34	Dwarven Battleaxe							74
35	Minotaur Battleaxe							87
36	Two-Handed Axe							1
37	Footman's Axe							50
38	Minotaur War Axe							60
39	Elite Minotaur Axe							70
40	Minotaur Herdsman Axe							97
41	Ogre Fighting Stick							12
42	Steel Spear							31
43	Elven Long Spear							61
44	War Spear							69
45	Dragon Harpoon							91
46	Improvised Voulge							26
47	Halberd							39
48	Beaked Halberd							47
49	Minotaur Campaign Pole-axe							75
50	Labyrinth Grapple							88
51	Hayfork							4
52	Infantry Fork							17
53	Lizardman Trident							53
54	Regnan Trident							80
55	Triton Trident							83
56	Hunting Bow							20
57	Recurve Bow							71
58	Snakewood Bow							75
59	Elven Warbow							79
60	Devilbone Bow							91
61	Light Crossbow							7
62	Blood Drop Crossbow							36
63	Hunting Crossbow							40
64	Caravaner's Crossbow							56
65	Regnan Crossbow							87
66	Mace							13
67	Flail							39
68	Temple Mace							74
69	Reverend Sceptre							93
70	Trollish War Mace							78
71	Sledgehammer							28
72	Field Hammer							51
73	Warhammer							55
74	Sun Hammer							82
75	Trollish Maul							85
79	Journey Staff							10
80	Orb Staff							48
81	Priestly Staff							67
82	Serpent Staff							86
83	Bone Staff							76
84	Leather Jerkin							1
85	Hardened Leather Vest							19
86	Caravaner's Leather							40
87	Regnan Leather							47
88	Alvarian Leather							96
89	Rusty Mail Vest							1
90	Steel Chainmail							22
91	Minotaur Chainmail							28
92	Siertal Chainmail							70
93	Erudine Chainmail							77
94	Rusty Breastplate							1
95	Banded Plate							40
96	Minotaur Plate							60
97	Dark Knight Plate							79
98	Dragoning Plate							89
99	Trollish Shield							14
100	Thornbark Shield							24
101	Regnan Tournament Shield							48
102	Veteran Shield							75
103	Dragon Hunter's Shield							91
104	Wooden Buckler							4
105	Caravaner's Small Shield							44
106	Calvary Shield							58
107	Death Head Shield							61
108	Eldritch Shield							88
109	Helm							8
110	Lizardman Helm							35
111	Full Helm							49
112	Battle Helm							63
113	Dragon Helm							83
117	Leather Belt							1
118	Sturdy Belt							28
119	Wyvern Leather Belt							56
120	Steel Belt							70
121	Artificer's Belt							83
122	Traveler's Cloak							1
123	Moon Temple Cloak							35
124	Alvar Cloak							56
125	Necromancer Cloak							76
126	Vampire Cloak							83
127	Leather Gloves							1
128	Troll Gauntlets							22
129	Steel Gauntlets							42
130	Minotaur Gauntlets							63
131	Crusader's Gauntlets							97
132	Walking Boots							8
133	Hardened Leather Boots							22
134	Regnan Boots							28
135	Alvarian Boots							56
136	Dragonning Boots							83
137	Bronze Ring							1
138	Gold Ring							21
139	Pearl Ring							42
140	Gemstone Ring							53
141	Amethyst Ring							42
142	Necromatic Ring							42
143	Ruby Ring							53
144	Vampire's Ring							74
145	Sun Opal Ring							74
146	Focal Ring							95
803	Crude Longsword							5
804	Elven Saber							21
805	Keen Longsword							30
806	Graceful Sword							36
807	Duelist Blade							63
808	Two-Handed Sword							23
809	Great Sword							39
810	Heroic Sword							55
811	Broadsword							16
812	Steel Broadsword							43
813	Champion Sword							71
814	Cutlass							11
815	Goblin Cutlass							45
816	Regnan Cutlass							53
817	Dagger							1
818	Dwarven Dagger							32
819	Sharktooth Dagger							13
820	Assassin's Dagger							59
821	Mage Dagger							82
822	Long Dagger							9
