Spell	SpellPointsNormal	SpellPointsExpert	SpellPointsMaster	SpellPointsGM	DelayNormal	DelayExpert	DelayMaster	DelayGM	DamageAdd	DamageDiceSides
	0	0	0	0	0	0	0	0	0	0
Torch Light	10	10	10	10	300	240	180	120	0	0
Fire Bolt	40	40	40	40	110	100	90	80	0	8
Fire Resistance	0	0	0	0	200	200	200	200	0	0
Fire Aura	0	0	0	0	0	0	0	0	0	0
Haste	0	0	0	0	0	0	0	0	0	0
Fireball	120	120	120	120	110	100	90	80	0	6
Fire Spike	50	50	50	50	50	50	50	50	0	6
Immolation	75	75	75	75	100	100	100	100	0	0
Meteor Shower	180	180	180	180	200	200	200	200	8	1
Inferno	300	300	300	300	180	180	180	180	12	2
Incinerate	240	240	240	240	100	100	100	80	20	20
Wizard Eye	0	0	0	0	0	0	0	0	0	0
Feather Fall	0	0	0	0	0	0	0	0	0	0
Air Resistance	0	0	0	0	200	200	200	200	0	0
Sparks	270	270	270	270	110	100	90	80	0	2
Jump	50	50	50	5	400	400	300	100	0	0
Shield	0	0	0	0	0	0	0	0	0	0
Lightning Bolt	90	90	90	90	42	36	30	24	0	8
Invisibility	0	0	0	0	0	0	0	0	0	0
Implosion	180	180	180	180	150	150	150	80	10	10
Fly	0	0	0	0	0	0	0	0	0	0
Starburst	250	250	250	250	200	200	200	200	30	1
Awaken	40	40	40	30	250	250	250	200	0	0
Poison Spray	200	200	200	200	110	100	90	80	4	4
Water Resistance	0	0	0	0	200	200	200	200	0	0
Ice Bolt	50	50	50	50	110	100	90	80	0	10
Water Walk	0	0	0	0	0	0	0	0	0	0
Recharge Item	0	0	0	0	0	0	0	0	0	0
Acid Burst	140	140	140	140	110	100	90	80	9	15
Enchant Item	0	0	0	0	0	0	0	0	0	0
Town Portal	0	0	0	0	0	0	0	0	0	0
Ice Blast	240	240	240	240	110	100	90	80	12	6
Lloyd's Beacon	0	0	0	0	0	0	0	0	0	0
Stun	20	20	20	20	30	30	30	30	0	0
Slow	80	80	80	80	160	160	160	160	0	0
Earth Resistance	0	0	0	0	200	200	200	200	0	0
Deadly Swarm	360	360	360	360	150	140	130	120	5	45
Stone Skin	0	0	0	0	0	0	0	0	0	0
Blades	240	240	240	240	150	140	130	120	0	23
Stone to Flesh	10	10	10	10	140	140	140	140	0	0
Rock Blast	240	240	240	240	150	140	130	120	10	10
Telekinesis	9999	9999	9999	9999	250	250	200	150	0	0
Death Blossom	400	400	400	400	600	600	600	600	20	10
Mass Distortion	500	500	500	500	1000	1000	1000	1000	25	0
Detect Life	0	0	0	0	0	0	0	0	0	0
Bless	0	0	0	0	0	0	0	0	0	0
Fate	100	100	100	100	200	200	200	200	0	0
Turn Undead	500	500	500	500	1000	1000	1000	1000	0	0
Remove Curse	50	50	50	50	120	120	120	120	0	0
Preservation	8	8	8	8	0	0	0	0	0	0
Heroism	10	10	10	10	0	0	0	0	0	0
Spirit Lash	60	60	60	60	110	100	90	80	10	8
Raise Dead	200	200	200	200	240	240	240	240	0	0
Shared Life	175	175	150	150	150	150	150	150	0	0
Resurrection	300	300	300	300	1000	1000	1000	1000	0	0
Telepathy	0	0	0	0	9999	9999	9999	9999	0	0
Remove Fear	50	50	50	50	120	120	120	120	0	0
Mind Resistance	0	0	0	0	200	200	200	200	0	0
Mind Blast	300	300	300	300	110	100	90	80	11	11
Charm	350	350	350	350	750	750	750	750	0	0
Cure Paralysis	100	100	100	100	120	120	120	120	0	0
Berserk	80	80	80	80	200	200	200	200	0	0
Mass Fear	500	500	500	500	1000	1000	1000	1000	0	0
Cure Insanity	90	90	75	75	120	120	120	120	0	0
Psychic Shock	350	350	350	350	160	160	160	80	24	24
Enslave	100	100	100	100	160	160	160	160	0	0
Cure Weakness	0	0	0	0	10	10	10	10	0	0
Heal	40	40	40	40	50	50	50	50	0	0
Body Resistance	0	0	0	0	200	200	200	200	0	0
Harm	100	100	100	100	200	200	200	200	8	4
Regeneration	175	175	175	175	180	180	180	180	0	0
Cure Poison	0	0	0	0	120	120	120	120	0	0
Hammerhands	75	75	75	75	80	80	40	40	0	0
Cure Disease	0	0	0	0	120	120	120	120	0	0
Protection from Magic	125	125	125	125	200	200	200	200	0	0
Flying Fist	250	250	250	250	300	100	90	80	30	10
Power Cure	200	200	200	200	100	100	100	100	0	0
Light Bolt	40	40	40	40	110	100	90	80	0	8
Destroy Undead	160	160	160	160	110	100	90	80	18	18
Dispel Magic	100	100	100	100	120	110	100	90	0	0
Paralyze	300	300	300	300	1100	1000	900	800	0	0
Summon Wisp	400	400	400	400	250	250	250	250	0	0
Day of the Gods	200	200	200	200	0	0	0	0	0	0
Prismatic Light	175	175	175	175	200	200	200	180	25	1
Day of Protection	200	200	200	200	0	0	0	0	0	0
Hour of Power	200	200	200	200	0	0	0	0	0	0
Sunray	240	240	240	240	110	100	90	80	20	20
Divine Intervention	550	550	550	550	300	300	300	300	0	0
Reanimate	400	400	400	400	500	500	500	500	0	0
Toxic Cloud	80	80	80	80	110	100	90	80	25	10
Vampiric Weapon	0	0	0	0	0	0	0	0	0	0
Shrinking Ray	450	450	450	450	500	500	500	500	0	0
Shrapmetal	600	600	600	600	110	100	90	80	0	6
Control Undead	100	100	100	100	1000	1000	750	500	0	0
Pain Reflection	240	240	240	240	300	300	300	300	0	0
Dark Grasp	300	300	300	300	600	600	550	550	0	0
Dragon Breath	400	400	400	400	110	100	90	80	0	25
Armageddon	999	999	999	999	999	999	999	999	50	1
Souldrinker	325	325	325	275	150	150	120	120	25	10
Glamour	5	5	5	5	0	0	0	0	0	0
Travelers' Boon	10	10	10	10	0	0	0	0	0	0
Blind	125	125	125	125	300	300	300	300	0	0
Darkfire Bolt	240	240	240	240	130	120	110	100	0	30
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Lifedrain	500	500	500	500	100	100	100	100	0	0
Levitate	10	10	10	10	0	0	0	0	0	0
Charm	400	400	400	400	800	800	800	800	0	0
Mistform	300	300	300	300	300	300	300	300	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Fear	500	500	500	500	1000	1000	1000	1000	0	0
Flame Blast	100	100	100	100	100	95	90	80	0	0
Flight	15	15	15	15	0	0	0	0	0	0
Wing Buffet	30	30	30	30	120	120	120	120	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
